time_total,time_GTT,Glucose_mean,Glucose_SEM,Insulin_mean,Insulin_SEM,Glycemic_level
0,0,9.519,0.24908,0.910430556,0.301485088,Hyperglycemia
8,8,8.641,0.451055891,3.730902778,0.295593417,Hyperglycemia
24,24,7.64,0.70787607,7.143229167,0.493870021,Hyperglycemia
47.9,47.9,6.179,0.363815057,7.203256944,1.087818153,Hyperglycemia
144,0,10.86,0.702955443,0.066243056,0.024253269,Hyperglycemia
152,8,9.593,0.888922128,0.317555556,0.02312575,Hyperglycemia
168,24,9.151,0.847896913,0.498805556,0.028466033,Hyperglycemia
191.9,47.9,8.579,0.24908,0.516798611,0.029539271,Hyperglycemia
0,0,,,,,Normoglycemia
8,8,,,,,Normoglycemia
24,24,,,,,Normoglycemia
47.9,47.9,,,,,Normoglycemia
144,0,5.185,0.48041,0.065111111,0.032653611,Normoglycemia
152,8,4.909,0.45484,0.137256944,0.056957014,Normoglycemia
168,24,4.489,0.41599,0.136579861,0.045476319,Normoglycemia
191.9,47.9,3.674,0.34043,0.080951389,0.024463611,Normoglycemia
