time,G_mean_highHC,G_SD_highHC,I_mean_highHC,I_SD_highHC,ratioSDmean,Glycemic_level,G_mean_high_HC_normo,G_SD_high_HC_normo,I_mean_high_HC_normo,I_SD_high_HC_normo,G_mean_lowHC,G_SD_lowHC,I_mean_low_HC,I_SD_low_HC
0,11.35839599,1.485839599,44.613,7.487854583,16.78401942,Hyperglycemia,,,,,10.737,0.95085,74.346,15.58941628
8,10.82335468,1.432335468,663.462,26.76479993,4.034111966,Hyperglycemia,,,,,10.673,0.94765,1150.493,57.52465
24,9.486680687,1.298668069,1291.277,72.82221537,5.639550257,Hyperglycemia,,,,,9.45,0.8865,2172.883,118.6473503
47.9,8.322292324,1.182229232,1561.306,38.73275568,2.480792086,Hyperglycemia,,,,,8.592,0.8436,2825.91,141.2955
288,10.72619048,1.346428548,8.772,3.141,35.80711354,Hyperglycemia,12.801,2.333620898,,,10.586,0.9433,67.859,7.783062138
296,10.74255952,1.348065452,109.158,7.00538528,6.417656315,Hyperglycemia,,,,,10.714,0.9497,726.11,36.3055
312,10.53194798,1.327004298,270.753,36.33236261,13.41900648,Hyperglycemia,10.79,2.111482674,27.22,,9.797,0.90385,1922.229,113.2254656
336,9.64957939,1.238767439,310.208,21.93109375,7.069802761,Hyperglycemia,10.177,2.093796527,63.644,70.0084,8.205,0.82425,2444.78,122.239
359.9,9.691508938,1.242960394,303.04,30.80519897,10.16539037,Hyperglycemia,10.187,2.094085896,89.013,72.5453,8.216,0.8248,3221.82,247.3319598
288,12.801,2.333620898,,,#DIV/0!,Normoglycemia,,,,,11.82,1.411,,
296,,,,,#DIV/0!,Normoglycemia,,,,,10.424,1.3412,187.505,8.630795155
312,10.79,2.111482674,,,110,Normoglycemia,,,,,9.827,1.31135,1203.26,60.163
336,10.177,2.093796527,63.644,70.0084,110,Normoglycemia,,,,,8.378,1.2389,2082.485,134.5009803
359.9,10.187,2.094085896,89.013,72.5453,81.49966859,Normoglycemia,,,,,7.912,1.2156,2578.14,128.907
