Gmeasured_max_11mM,Gmeasured_min_11mM,Gmeasured_opt_11mM,Imeasured_max_11mM,Imeasured_min_11mM,Imeasured_opt_11mM,time,Gmeasured_max_5p5mM,Gmeasured_min_5p5mM,Gmeasured_opt_5p5mM,Imeasured_max_5p5mM,Imeasured_min_5p5mM,Imeasured_opt_5p5mM,Gmeasured_max_11mM_lowHC,Gmeasured_min_11mM_lowHC,Gmeasured_opt_11mM_lowHC,Gmeasured_max_5p5mM_lowHC,Gmeasured_min_5p5mM_lowHC,Gmeasured_opt_5p5mM_lowHC,Imeasured_max_11mM_lowHC,Imeasured_min_11mM_lowHC,Imeasured_opt_11mM_lowHC,Imeasured_max_5p5mM_lowHC,Imeasured_min_5p5mM_lowHC,Imeasured_opt_5p5mM_lowHC
13.34508226,9.00097737,12.16947552,15.26340543,11.00018888,13.97785097,0,5.5,5.5,5.5,0,0,0,11,11,11,5.5,5.5,5.5,11,11,11,0,0,0
13.34246483,9.00060142,12.16855391,19.9867969,14.71751737,18.55743801,0.05,5.499979591,5.498412031,5.499691641,2.97211658,1.455689931,2.118304042,10.99993962,10.99680458,10.9993413,5.499979553,5.498412041,5.499691641,18.27096529,18.24950265,15.24304004,3.617945718,3.617842504,2.118304139
13.33984706,9.000225676,12.16763175,24.70929734,18.35015529,23.13618458,0.1,5.499959103,5.496824584,5.499382939,5.943525549,2.911183376,4.236199469,10.99987814,10.99360977,10.99868135,5.499958809,5.496824658,5.499382939,25.54104423,25.49706563,19.48535529,7.23541652,7.234613157,4.236200244
13.33722715,8.999849861,12.16670737,29.42999499,21.98176236,27.71325291,0.15,5.499938466,5.495237298,5.49907355,8.913583545,4.366300928,6.353314438,10.99981447,10.99041441,10.99801877,5.499937497,5.495237542,5.49907355,32.80939949,32.74072999,23.72620683,10.85197937,10.8493385,6.353317052
13.33460346,8.999473721,12.16577926,34.14806769,25.61187037,32.28788717,0.2,5.499917615,5.493649848,5.498763165,11.88171089,5.820880919,8.469313519,10.99974762,10.98721745,10.9973523,5.499915374,5.493650412,5.498763165,40.0752744,39.978733,27.96492836,14.46724304,14.46114277,8.469319715
13.33197454,8.999097032,12.16484607,39.25125759,29.24005646,36.85940524,0.25,5.499896491,5.492061942,5.498451504,14.84738542,7.274776807,10.58389419,10.99967672,10.98401793,10.99668083,5.49989222,5.492063016,5.498451504,47.33798497,47.20948933,32.20091892,18.08085386,18.06923802,10.58390629
13.32933907,8.998719589,12.1639066,44.65582743,32.86593897,41.4271919,0.3,5.499875044,5.490473314,5.498138315,17.81013673,8.727856406,12.6967835,10.99960096,10.98081499,10.99600335,5.49986784,5.490475127,5.498138315,54.59691319,54.43157371,36.43363663,21.69249226,21.67291626,12.69680441
13.32669586,8.998341209,12.16295976,50.05358693,36.48917332,45.99069224,0.35,5.499853226,5.488883728,5.497823373,20.76954126,10.18000011,14.80773527,10.99951963,10.97760786,10.99531896,5.499842054,5.488886539,5.497823372,61.85150054,61.64370538,40.66259288,25.3018697,25.27154103,14.80776847
13.32404384,8.997961727,12.16200457,55.44374014,40.10944858,50.54940596,0.4,5.499830996,5.487292968,5.497506472,23.72521793,11.63109998,16.91652754,10.99943207,10.97439585,10.99462685,5.499814704,5.487297068,5.497506471,69.10124243,68.84473395,44.88734729,28.90872535,28.86454072,16.91657709
13.32138205,8.997580995,12.16104015,60.82557143,43.72648427,55.1028821,0.45,5.499808315,5.485700842,5.49718743,26.67682396,13.08105852,19.02296063,10.99933772,10.97117833,10.99392629,5.499785647,5.485706548,5.497187428,76.34568301,76.03362679,49.10750312,32.51282385,32.45140231,19.02303116
