time_total,time_GTT,H1_G_opt,H1_G_min,H1_G_max,H2_G_opt,H2_G_min,H2_G_max,Glycemic_level
288,,,10.22083333,10.22083333,,10.22083333,10.22083333,
288.01,,,10.21878804,10.2199368,,10.21946489,10.22020014,
288.02,,,10.21674558,10.21904075,,10.21809762,10.21956723,
288.03,,,10.21470592,10.21814517,,10.21673152,10.2189346,
288.04,,,10.21266904,10.21725007,,10.21536658,10.21830224,
288.05,,,10.21063489,10.21635544,,10.21400278,10.21767016,
288.06,,,10.20860345,10.21546127,,10.2126401,10.21703834,
288.07,,,10.20657469,10.21456756,,10.21127855,10.2164068,
288.08,,,10.20454857,10.2136743,,10.20991809,10.21577551,
288.09,,,10.20252508,10.21278149,,10.20855874,10.21514449,
288.1,,,10.20050417,10.21188913,,10.20720046,10.21451373,
288.11,,,10.19848583,10.2109972,,10.20584326,10.21388322,
288.12,,,10.19647002,10.21010571,,10.20448712,10.21325297,
288.13,,,10.19445671,10.20921466,,10.20313203,10.21262297,
288.14,,,10.19244589,10.20832403,,10.20177797,10.21199322,
288.15,,,10.19043752,10.20743382,,10.20042495,10.21136371,
288.16,,,10.18843158,10.20654404,,10.19907295,10.21073445,
288.17,,,10.18642805,10.20565466,,10.19772196,10.21010544,
288.18,,,10.1844269,10.20476571,,10.19637197,10.20947666,
288.19,,,10.1824281,10.20387715,,10.19502297,10.20884812,
288.2,,,10.18043164,10.20298901,,10.19367495,10.20821982,
288.21,,,10.17843749,10.20210126,,10.19232791,10.20759175,
288.22,,,10.17644562,10.20121392,,10.19098183,10.20696391,
288.23,,,10.17445602,10.20032696,,10.18963671,10.2063363,
288.24,,,10.17246867,10.1994404,,10.18829253,10.20570892,
288.25,,,10.17048354,10.19855422,,10.18694929,10.20508177,
288.26,,,10.16850061,10.19766843,,10.18560699,10.20445484,
288.27,,,10.16651987,10.19678302,,10.1842656,10.20382813,
288.28,,,10.16454128,10.19589799,,10.18292513,10.20320165,
288.29,,,10.16256484,10.19501333,,10.18158557,10.20257538,
288.3,,,10.16059052,10.19412905,,10.18024691,10.20194933,
288.31,,,10.15861831,10.19324513,,10.17890914,10.20132349,
288.32,,,10.15664819,10.19236158,,10.17757226,10.20069787,
288.33,,,10.15468013,10.19147839,,10.17623625,10.20007246,
288.34,,,10.15271413,10.19059556,,10.17490111,10.19944726,
288.35,,,10.15075015,10.18971309,,10.17356684,10.19882227,
288.36,,,10.1487882,10.18883098,,10.17223343,10.19819748,
288.37,,,10.14682824,10.18794922,,10.17090086,10.1975729,
288.38,,,10.14487027,10.1870678,,10.16956914,10.19694853,
288.39,,,10.14291427,10.18618674,,10.16823826,10.19632436,
288.4,,,10.14096022,10.18530602,,10.16690821,10.19570039,
288.41,,,10.1390081,10.18442564,,10.16557899,10.19507662,
288.42,,,10.13705791,10.18354561,,10.16425059,10.19445305,
288.43,,,10.13510962,10.18266591,,10.162923,10.19382968,
288.44,,,10.13316322,10.18178654,,10.16159622,10.1932065,
288.45,,,10.13121871,10.18090751,,10.16027024,10.19258352,
288.46,,,10.12927605,10.18002881,,10.15894506,10.19196073,
288.47,,,10.12733525,10.17915044,,10.15762067,10.19133813,
288.48,,,10.12539628,10.1782724,,10.15629707,10.19071572,
288.49,,,10.12345914,10.17739468,,10.15497425,10.19009351,
288.5,,,10.1215238,10.17651728,,10.1536522,10.18947148,
288.51,,,10.11959027,10.17564021,,10.15233093,10.18884964,
288.52,,,10.11765852,10.17476345,,10.15101042,10.18822798,
288.53,,,10.11572854,10.17388701,,10.14969068,10.18760651,
288.54,,,10.11380033,10.17301089,,10.14837169,10.18698523,
288.55,,,10.11187386,10.17213508,,10.14705345,10.18636413,
288.56,,,10.10994913,10.17125958,,10.14573596,10.18574321,
288.57,,,10.10802613,10.17038439,,10.14441922,10.18512247,
288.58,,,10.10610485,10.16950951,,10.14310321,10.18450191,
288.59,,,10.10418527,10.16863493,,10.14178794,10.18388153,
288.6,,,10.10226738,10.16776066,,10.14047339,10.18326132,
288.61,,,10.10035118,10.16688669,,10.13915958,10.1826413,
288.62,,,10.09843665,10.16601302,,10.13784648,10.18202145,
288.63,,,10.09652378,10.16513966,,10.13653411,10.18140177,
288.64,,,10.09461257,10.16426659,,10.13522245,10.18078227,
288.65,,,10.09270299,10.16339381,,10.13391149,10.18016295,
288.66,,,10.09079506,10.16252134,,10.13260125,10.17954379,
288.67,,,10.08888875,10.16164915,,10.13129171,10.17892481,
288.68,,,10.08698405,10.16077726,,10.12998286,10.178306,
288.69,,,10.08508096,10.15990566,,10.12867471,10.17768736,
288.7,,,10.08317946,10.15903435,,10.12736726,10.17706888,
288.71,,,10.08127956,10.15816332,,10.12606049,10.17645058,
288.72,,,10.07938123,10.15729259,,10.12475441,10.17583244,
288.73,,,10.07748448,10.15642213,,10.12344901,10.17521447,
288.74,,,10.07558929,10.15555197,,10.12214429,10.17459667,
288.75,,,10.07369566,10.15468208,,10.12084025,10.17397903,
288.76,,,10.07180357,10.15381248,,10.11953688,10.17336156,
288.77,,,10.06991302,10.15294316,,10.11823417,10.17274425,
288.78,,,10.06802401,10.15207411,,10.11693214,10.1721271,
288.79,,,10.06613652,10.15120535,,10.11563076,10.17151012,
288.8,,,10.06425054,10.15033686,,10.11433005,10.1708933,
288.81,,,10.06236608,10.14946865,,10.11303,10.17027664,
288.82,,,10.06048312,10.14860071,,10.1117306,10.16966014,
288.83,,,10.05860165,10.14773304,,10.11043185,10.1690438,
288.84,,,10.05672167,10.14686565,,10.10913375,10.16842762,
288.85,,,10.05484318,10.14599853,,10.1078363,10.1678116,
288.86,,,10.05296616,10.14513168,,10.1065395,10.16719573,
