time_total,time_GTT,H1_G_opt,H1_G_min,H1_G_max,H2_G_opt,H2_G_min,H2_G_max,Glycemic_level
288,,,10.096,10.096,,10.096,10.096,
288.01,,,10.09240641,10.09375135,,10.094588,10.095344,
288.02,,,10.08881909,10.09150549,,10.09317726,10.09468833,
288.03,,,10.08523795,10.08926238,,10.09176777,10.09403297,
288.04,,,10.08166294,10.087022,,10.09035951,10.09337794,
288.05,,,10.07809397,10.08478431,,10.08895247,10.09272321,
288.06,,,10.07453098,10.08254928,,10.08754663,10.0920688,
288.07,,,10.0709739,10.08031689,,10.086142,10.09141469,
288.08,,,10.06742267,10.07808711,,10.08473854,10.09076089,
288.09,,,10.06387722,10.07585991,,10.08333626,10.09010738,
288.1,,,10.06033748,10.07363527,,10.08193514,10.08945418,
288.11,,,10.0568034,10.07141315,,10.08053517,10.08880127,
288.12,,,10.05327491,10.06919354,,10.07913633,10.08814865,
288.13,,,10.04975196,10.0669764,,10.07773862,10.08749633,
288.14,,,10.04623448,10.06476172,,10.07634202,10.08684429,
288.15,,,10.04272241,10.06254947,,10.07494653,10.08619254,
288.16,,,10.03921571,10.06033962,,10.07355214,10.08554107,
288.17,,,10.03571432,10.05813215,,10.07215883,10.08488987,
288.18,,,10.03221817,10.05592704,,10.07076659,10.08423896,
288.19,,,10.02872723,10.05372427,,10.06937541,10.08358832,
288.2,,,10.02524143,10.05152381,,10.06798529,10.08293795,
288.21,,,10.02176073,10.04932565,,10.06659622,10.08228786,
288.22,,,10.01828508,10.04712976,,10.06520818,10.08163803,
288.23,,,10.01481442,10.04493612,,10.06382117,10.08098846,
288.24,,,10.01134872,10.04274471,,10.06243518,10.08033916,
288.25,,,10.00788792,10.04055552,,10.0610502,10.07969013,
288.26,,,10.00443198,10.03836851,,10.05966622,10.07904135,
288.27,,,10.00098085,10.03618368,,10.05828323,10.07839283,
288.28,,,9.997534483,10.03400101,,10.05690123,10.07774456,
288.29,,,9.994092847,10.03182047,,10.0555202,10.07709655,
288.3,,,9.990655893,10.02964204,,10.05414014,10.07644878,
288.31,,,9.98722358,10.02746572,,10.05276105,10.07580127,
288.32,,,9.983795868,10.02529149,,10.05138291,10.07515401,
288.33,,,9.980372717,10.02311932,,10.05000571,10.07450699,
288.34,,,9.976954087,10.0209492,,10.04862945,10.07386021,
288.35,,,9.973539941,10.01878111,,10.04725412,10.07321368,
288.36,,,9.970130239,10.01661504,,10.04587972,10.07256739,
288.37,,,9.966724946,10.01445097,,10.04450624,10.07192133,
288.38,,,9.963324026,10.01228889,,10.04313367,10.07127551,
288.39,,,9.959927442,10.01012878,,10.041762,10.07062993,
288.4,,,9.956535161,10.00797063,,10.04039123,10.06998459,
288.41,,,9.953147147,10.00581442,,10.03902135,10.06933947,
288.42,,,9.949763368,10.00366014,,10.03765236,10.06869458,
288.43,,,9.94638379,10.00150778,,10.03628425,10.06804993,
288.44,,,9.943008382,9.999357314,,10.03491701,10.0674055,
