time,G_min,G_max,G_opt,I_min,I_max,I_opt
288,10.2672,11.9568,11,0,0,0
288.01,10.2663579,11.95663204,10.99934385,0.000183202,0.000692779,0.000431809
288.02,10.26551593,11.95646406,10.99868778,0.000366376,0.001385465,0.000863559
288.03,10.2646741,11.95629608,10.99803176,0.000549518,0.002078035,0.001295241
288.04,10.26383238,11.95612806,10.9973758,0.000732625,0.002770466,0.001726842
288.05,10.26299078,11.95596001,10.99671988,0.000915694,0.003462734,0.002158354
288.06,10.26214929,11.9568,10.996064,0,0.004154818,0.002589765
288.07,10.2613079,11.95621156,10.99540814,0.000395252,0.004846694,0.003021066
288.08,10.26046662,11.95562317,10.99475231,0.00079045,0.005538342,0.003452247
288.09,10.25962543,11.95528726,10.99409648,0.001185584,0.006229741,0.003883299
288.1,10.25878434,11.95511888,10.99344067,0.001580644,0.006920871,0.004314212
288.11,10.25794333,11.95495041,10.99278485,0.00197562,0.007611711,0.004744977
288.12,10.2571024,11.95478184,10.99212902,0.00219584,0.008302243,0.005175586
288.13,10.25626156,11.95461317,10.99147318,0.002378491,0.008992447,0.005606029
288.14,10.25542078,11.95444437,10.99081731,0.002561076,0.009682305,0.006036298
288.15,10.25458008,11.95427545,10.99016141,0.002743594,0.010371799,0.006466385
288.16,10.25373944,11.9541064,10.98950549,0.002926041,0.011060911,0.006896281
288.17,10.25289886,11.95393721,10.98884951,0.003108415,0.011749623,0.00732598
288.18,10.25205835,11.95376787,10.9881935,0.003290714,0.01243792,0.007755472
288.19,10.25121788,11.95359837,10.98753742,0.003472934,0.013125785,0.008184752
288.2,10.25037747,11.95342871,10.98688129,0.003655074,0.013813201,0.00861381
288.21,10.2495371,11.95325888,10.9862251,0.003837131,0.014500154,0.00904264
288.22,10.24869677,11.95308888,10.98556883,0.004019103,0.015186627,0.009471235
288.23,10.24785649,11.95291869,10.98491249,0.004200988,0.015872606,0.009899587
288.24,10.24701624,11.95274832,10.98425607,0.004382783,0.016558076,0.010327691
288.25,10.24617602,11.95257774,10.98359957,0.004564486,0.017243024,0.01075554
288.26,10.24533584,11.95240697,10.98294297,0.004746096,0.017927435,0.011183126
288.27,10.24449568,11.95223599,10.98228628,0.00492761,0.018611296,0.011610444
288.28,10.24365554,11.95206479,10.98162949,0.005109026,0.019294594,0.012037489
288.29,10.24281542,11.95189338,10.98097259,0.005290342,0.019977315,0.012464252
288.3,10.24197532,11.95172174,10.98031559,0.005471557,0.020659449,0.01289073
288.31,10.24113524,11.95154986,10.97965847,0.005652668,0.021340981,0.013316916
288.32,10.24029516,11.95137776,10.97900124,0.005833673,0.0220219,0.013742804
288.33,10.2394551,11.95120541,10.97834388,0.006014572,0.022702196,0.014168389
288.34,10.23861504,11.95103281,10.9776864,0.006195361,0.023381855,0.014593666
288.35,10.23777499,11.95085996,10.97702879,0.00637604,0.024060868,0.01501863
288.36,10.23693494,11.95068686,10.97637105,0.006556607,0.024739223,0.015443275
288.37,10.23609488,11.95051349,10.97571317,0.00673706,0.025416911,0.015867596
288.38,10.23525482,11.95033986,10.97505515,0.006917397,0.02609392,0.016291589
288.39,10.23441476,11.95016596,10.97439698,0.007097617,0.026770241,0.016715249
288.4,10.23357469,11.94999178,10.97373867,0.007277718,0.027445864,0.017138571
288.41,10.23273461,11.94981732,10.97308021,0.007457699,0.02812078,0.017561551
288.42,10.23189451,11.94964258,10.97242159,0.007637559,0.02879498,0.017984184
288.43,10.2310544,11.94946755,10.97176282,0.007817296,0.029468453,0.018406466
288.44,10.23021427,11.94929223,10.97110389,0.007996908,0.030141193,0.018828393
288.45,10.22937413,11.94911662,10.97044479,0.008176395,0.03081319,0.019249961
288.46,10.22853396,11.9489407,10.96978553,0.008355755,0.031484435,0.019671165
288.47,10.22769377,11.94876448,10.96912611,0.008534986,0.032154922,0.020092002
288.48,10.22685355,11.94858795,10.96846651,0.008714088,0.032824641,0.020512469
288.49,10.22601331,11.94841112,10.96780673,0.008893059,0.033493586,0.02093256
288.5,10.22517304,11.94823396,10.96714678,0.009071897,0.034161748,0.021352274
288.51,10.22433274,11.94805649,10.96648665,0.009250603,0.034829121,0.021771605
288.52,10.22349241,11.9478787,10.96582634,0.009429174,0.035495698,0.022190552
288.53,10.22265204,11.94770059,10.96516585,0.00960761,0.036161471,0.02260911
288.54,10.22181164,11.94752214,10.96450517,0.00978591,0.036826434,0.023027276
288.55,10.2209712,11.94734337,10.96384431,0.009964071,0.03749058,0.023445046
288.56,10.22013073,11.94716426,10.96318325,0.010142094,0.038153904,0.023862419
288.57,10.21929021,11.94698482,10.962522,0.010319977,0.038816398,0.02427939
