time_total,Glucose_max,Glucose_min,Glucose_opt,Insulin_max,Insulin_min,Insulin_opt
0,5.5,5.5,0,0,0,0
0.01,5.499922737,5.499548897,0.001777614,0.002112075,0.0008236,0.001777614
0.02,5.499845465,5.499097856,0.003555177,0.00422407,0.001647181,0.003555177
0.03,5.499768175,5.498646865,0.005332644,0.006335912,0.002470726,0.005332644
0.04,5.499690856,5.498195912,0.007109968,0.008447526,0.003294219,0.007109968
0.05,5.499613498,5.497744985,0.008887106,0.010558843,0.004117644,0.008887106
0.06,5.499536091,5.497294073,0.010664015,0.012669791,0.004940985,0.010664015
0.07,5.499458625,5.496843165,0.012440652,0.014780304,0.005764227,0.012440652
0.08,5.499381092,5.49639225,0.014216976,0.016890316,0.006587354,0.014216976
0.09,5.499303483,5.495941318,0.015992946,0.018999761,0.007410352,0.015992946
0.1,5.499225787,5.495490358,0.017768523,0.021108576,0.008233207,0.017768523
0.11,5.499147997,5.495039361,0.019543668,0.023216699,0.009055905,0.019543668
0.12,5.499070104,5.494588316,0.021318344,0.025324071,0.009878431,0.021318344
0.13,5.4989921,5.494137214,0.023092513,0.027430632,0.010700771,0.023092513
0.14,5.498913976,5.493686046,0.02486614,0.029536325,0.011522914,0.02486614
0.15,5.498835725,5.493234802,0.026639189,0.031641094,0.012344846,0.026639189
0.16,5.498757338,5.492783474,0.028411626,0.033744884,0.013166555,0.028411626
0.17,5.498678809,5.492332052,0.030183416,0.035847641,0.013988027,0.030183416
0.18,5.498600129,5.491880528,0.031954527,0.037949313,0.014809252,0.031954527
0.19,5.498521291,5.491428894,0.033724927,0.04004985,0.015630217,0.033724927
0.2,5.498442289,5.490977142,0.035494583,0.0421492,0.016450911,0.035494583
0.21,5.498363114,5.490525263,0.037263466,0.044247316,0.017271322,0.037263466
0.22,5.498283761,5.49007325,0.039031545,0.046344151,0.018091439,0.039031545
0.23,5.498204223,5.489621095,0.04079879,0.048439657,0.018911252,0.04079879
