time_total,time_GTT,H1_G_opt,H1_G_min,H1_G_max,H1_I_opt,H1_I_min,H1_I_max,H2_G_opt,H2_G_min,H2_G_max,H2_I_opt,H2_I_min,H2_I_max,Glycemic_level
0,,5.5,5.5,5.5,0,0,0,5.5,5.5,5.5,0,0,0,
0.01,,5.49972424,5.49972424,5.499833693,0.00295504,0.002933784,0.003680687,5.499719519,5.499720057,5.499779984,0.003076023,0.003093268,0.003615333,
0.02,,5.499448505,5.499448505,5.49966739,0.005910043,0.005867527,0.007361309,5.499439064,5.499440138,5.499559981,0.006152004,0.006186493,0.007230607,
0.03,,5.499172789,5.499172789,5.499501087,0.008864981,0.008801196,0.01104182,5.499158631,5.49916024,5.499339987,0.009227914,0.009279642,0.010845777,
0.04,,5.49889709,5.49889709,5.499334778,0.011819826,0.011734758,0.014722174,5.498878217,5.498880356,5.499119998,0.012303721,0.012372682,0.014460796,
0.05,,5.498621404,5.498621404,5.499168457,0.014774552,0.014668183,0.018402325,5.49859782,5.498600485,5.498900009,0.015379397,0.015465581,0.01807562,
0.06,,5.498345728,5.498345728,5.499002119,0.017729133,0.01760144,0.02208223,5.498317437,5.498320621,5.498680018,0.018454913,0.018558308,0.021690206,
0.07,,5.498070058,5.498070058,5.49883576,0.020683543,0.020534498,0.025761846,5.498037064,5.498040761,5.498460019,0.021530242,0.021650832,0.025304511,
0.08,,5.49779439,5.49779439,5.498669375,0.023637756,0.023467329,0.02944113,5.4977567,5.497760901,5.498240009,0.024605355,0.024743122,0.028918492,
0.09,,5.497518723,5.497518723,5.498502958,0.026591748,0.026399903,0.033120042,5.497476341,5.497481037,5.498019985,0.027680226,0.027835149,0.032532109,
0.1,,5.497243051,5.497243051,5.498336506,0.029545496,0.029332192,0.036798542,5.497195984,5.497201165,5.497799942,0.030754829,0.030926884,0.036145321,
0.11,,5.496967373,5.496967373,5.498170013,0.032498974,0.032264168,0.040476588,5.496915628,5.496921282,5.497579877,0.033829137,0.034018299,0.03975809,
0.12,,5.496691685,5.496691685,5.498003475,0.03545216,0.035195805,0.044154144,5.496635269,5.496641385,5.497359787,0.036903125,0.037109366,0.043370377,
0.13,,5.496415985,5.496415985,5.497836888,0.038405032,0.038127075,0.04783117,5.496354906,5.496361469,5.497139668,0.039976769,0.040200058,0.046982144,
